# The GWTC (Gravitational Wave Transient Catalog) is a cumulative set of gravitational wave transients maintained by the LIGO/Virgo/KAGRA collaboration.
# Taken from https://www.gw-openscience.org/eventapi/html/GWTC/ at 09/11/2021
# Includes data from GWTC-1, GWTC-2, GWTC-2.1 and GWTC-3

id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914-v3,GW150914,3,GWTC-1-confident,1126259462.4,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3,35.6,-3.1,4.7,30.6,-4.4,3.0,24.4,,,440.0,-170.0,150.0,-0.01,-0.13,0.12,,,,28.6,-1.5,1.7,,,,0.09,-0.03,0.03,1e-07,,,63.1,-3.0,3.4
GW151012-v3,GW151012,3,GWTC-1-confident,1128678900.4,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3,23.2,-5.5,14.9,13.6,-4.8,4.1,10.0,,,1080.0,-490.0,550.0,0.05,-0.2,0.31,,,,15.2,-1.2,2.1,,,,0.21,-0.09,0.09,0.00792,,,35.6,-3.8,10.8
GW151226-v2,GW151226,2,GWTC-1-confident,1135136350.6,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2,13.7,-3.2,8.8,7.7,-2.5,2.2,13.1,,,450.0,-190.0,180.0,0.18,-0.12,0.2,,,,8.9,-0.3,0.3,,,,0.09,-0.04,0.04,1e-07,,,20.5,-1.5,6.4
GW170104-v2,GW170104,2,GWTC-1-confident,1167559936.6,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2,30.8,-5.6,7.3,20.0,-4.6,4.9,13.0,,,990.0,-430.0,440.0,-0.04,-0.21,0.17,,,,21.4,-1.8,2.2,,,,0.2,-0.08,0.08,1e-07,,,48.9,-4.0,5.1
GW170608-v3,GW170608,3,GWTC-1-confident,1180922494.5,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3,11.0,-1.7,5.5,7.6,-2.2,1.4,14.9,,,320.0,-110.0,120.0,0.03,-0.07,0.19,,,,7.9,-0.2,0.2,,,,0.07,-0.02,0.02,1e-07,,,17.8,-0.7,3.4
GW170729-v1,GW170729,1,GWTC-1-confident,1185389807.3,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170729/v1,50.2,-10.2,16.2,34.0,-10.1,9.1,10.2,,,2840.0,-1360.0,1400.0,0.37,-0.25,0.21,,,,35.4,-4.8,6.5,,,,0.49,-0.21,0.19,0.02,,,79.5,-10.2,14.7
GW170809-v1,GW170809,1,GWTC-1-confident,1186302519.8,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170809/v1,35.0,-5.9,8.3,23.8,-5.2,5.1,12.4,,,1030.0,-390.0,320.0,0.08,-0.17,0.17,,,,24.9,-1.7,2.1,,,,0.2,-0.07,0.05,1e-07,,,56.3,-3.8,5.2
GW170814-v3,GW170814,3,GWTC-1-confident,1186741861.5,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170814/v3,30.6,-3.0,5.6,25.2,-4.0,2.8,15.9,,,600.0,-220.0,150.0,0.07,-0.12,0.12,,,,24.1,-1.1,1.4,,,,0.12,-0.04,0.03,1e-07,,,53.2,-2.4,3.2
GW170817-v3,GW170817,3,GWTC-1-confident,1187008882.4,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170817/v3,1.46,-0.1,0.12,1.27,-0.09,0.09,33.0,,,40.0,-15.0,7.0,0.0,-0.01,0.02,,,,1.186,-0.001,0.001,,,,0.01,-0.0,0.0,1e-07,,,2.8,,
GW170818-v1,GW170818,1,GWTC-1-confident,1187058327.1,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170818/v1,35.4,-4.7,7.5,26.7,-5.2,4.3,11.3,,,1060.0,-380.0,420.0,-0.09,-0.21,0.18,,,,26.5,-1.7,2.1,,,,0.21,-0.07,0.07,4.2000000000000004e-05,,,59.4,-3.8,4.9
GW170823-v1,GW170823,1,GWTC-1-confident,1187529256.5,https://doi.org/10.7935/82H3-HH23,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170823/v1,39.5,-6.7,11.2,29.0,-7.8,6.7,11.5,,,1940.0,-900.0,970.0,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,,,,0.35,-0.15,0.15,1e-07,,,65.4,-7.4,10.1
GW190403_051519-v1,GW190403_051519,1,GWTC-2.1-confident,1238303737.2,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190403_051519/v1,88.0,-32.9,28.2,22.1,-9.0,23.8,7.9557,,,8000.0,-3990.0,5880.0,0.7,-0.27,0.15,110.5,-24.2,30.6,36.3,-8.8,14.4,,,,1.14,-0.49,0.64,7.7,,,105.2,-24.1,29.1
GW190408_181802-v1,GW190408_181802,1,GWTC-2,1238782700.3,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190408_181802/v1,24.6,-3.4,5.1,18.4,-3.6,3.3,14.67360038139546,,,1550.0,-600.0,400.0,-0.03,-0.19,0.14,43.0,-3.0,4.2,18.3,-1.2,1.9,23.7,-1.7,1.4,0.29,-0.1,0.06,1e-05,,,41.1,-2.8,3.9
GW190412-v3,GW190412,3,GWTC-2,1239082262.2,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190412/v3,30.1,-5.1,4.7,8.3,-0.9,1.6,18.86182683162956,,,740.0,-170.0,140.0,0.25,-0.11,0.08,38.4,-3.7,3.8,13.3,-0.3,0.4,15.2,-0.2,0.2,0.15,-0.03,0.03,1e-05,,,37.3,-3.8,3.9
GW190413_052954-v1,GW190413_052954,1,GWTC-2,1239168612.5,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_052954/v1,34.7,-8.1,12.6,23.7,-6.7,7.3,8.555396161858269,,,3550.0,-1660.0,2270.0,-0.01,-0.34,0.29,58.6,-9.7,13.3,24.6,-4.1,5.5,39.4,-6.6,7.7,0.59,-0.24,0.29,0.07168326663702794,,,56.0,-9.2,12.5
GW190413_134308-v1,GW190413_134308,1,GWTC-2,1239198206.7,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_134308/v1,47.5,-10.7,13.5,31.8,-10.8,11.7,9.030693020279005,,,4450.0,-2120.0,2480.0,-0.03,-0.29,0.25,78.8,-11.9,17.4,33.0,-5.4,8.2,57.0,-9.8,8.6,0.71,-0.3,0.31,0.043657319879159086,,,75.5,-11.4,16.4
